source,model,symbol,direction,is_live,ts_in_utc,ts_out_utc,ts_in_wita,ts_out_wita,date_entry_utc,date_entry_wita,entry,exit,tp,sl,outcome,net_pnl,modal_used,signal_confidence,hold_bars,status,is_win
live_db,ic32_regime_v1,DOTUSDT,LONG,1,2026-06-11T17:05:29.526670+00:00,2026-06-11T19:31:51.975873+00:00,2026-06-12 01:05:29,2026-06-12 03:31:51,2026-06-11,2026-06-12,0.9434714999999999,0.9685155,0.9638435587157366,0.9279069853210659,guardian_momentum_exit,0.3278,2.5,0.7971,2,closed,True
live_db,ic32_regime_v1,BNBUSDT,SHORT,1,2026-06-11T21:05:11.335183+00:00,2026-06-12T06:31:52.398915+00:00,2026-06-12 05:05:11,2026-06-12 14:31:52,2026-06-11,2026-06-12,603.128285,598.729215,595.2747898034143,609.9533737991464,guardian_exit,0.1783,5.0,0.7,9,closed,True
live_db,ic32_regime_v1,1000PEPEUSDT,SHORT,1,2026-06-12T00:05:08.161199+00:00,2026-06-12T04:16:52.581410+00:00,2026-06-12 08:05:08,2026-06-12 12:16:52,2026-06-12,2026-06-12,0.0027839073500000003,0.00281570715,0.002728320361353159,0.00285509674716171,guardian_exit,-0.2896,5.0,0.6418,4,closed,False
live_db,ic32_regime_v1,TRXUSDT,SHORT,1,2026-06-12T00:05:15.503403+00:00,2026-06-12T13:10:18.279056+00:00,2026-06-12 08:05:15,2026-06-12 21:10:18,2026-06-12,2026-06-12,0.31570207,0.3121,0.30842,0.3212199226276864,reconciled,0.2812,5.0,0.5955,13,closed,True
live_db,ic32_regime_v1,SUIUSDT,LONG,1,2026-06-12T01:05:02.216920+00:00,2026-06-12T09:22:18.807505+00:00,2026-06-12 09:05:02,2026-06-12 17:22:18,2026-06-12,2026-06-12,0.75147555,0.7614191000000001,0.7698,0.7393727683063712,guardian_exit,0.3268,5.0,0.7108,8,closed,True
live_db,ic32_regime_v1,SUIUSDT,LONG,1,2026-06-12T02:05:03.007966+00:00,2026-06-12T09:22:19.754229+00:00,2026-06-12 10:05:03,2026-06-12 17:22:19,2026-06-12,2026-06-12,0.7513755,0.7614191000000001,0.7659712365379128,0.7396510658655218,guardian_exit,0.3302,5.0,0.811,7,closed,True
live_db,ic32_regime_v1,DOGEUSDT,SHORT,1,2026-06-12T02:05:21.121617+00:00,2026-06-12T04:11:52.838544+00:00,2026-06-12 10:05:21,2026-06-12 12:11:52,2026-06-12,2026-06-12,0.085847055,0.086633295,0.08434,0.08698677180061958,guardian_exit,-0.233,5.0,0.6507,2,closed,False
live_db,ic32_regime_v1,HBARUSDT,LONG,1,2026-06-12T10:05:23.895837+00:00,2026-06-12T13:02:19.543875+00:00,2026-06-12 18:05:23,2026-06-12 21:02:19,2026-06-12,2026-06-12,0.07959978,0.07882057,0.08099664846397975,0.07807078288400507,guardian_exit,-0.2487,5.0,0.7566,2,closed,False
live_db,ic32_regime_v1,SUIUSDT,SHORT,1,2026-06-12T12:05:02.316812+00:00,2026-06-12T15:02:18.987949+00:00,2026-06-12 20:05:02,2026-06-12 23:02:18,2026-06-12,2026-06-12,0.7560218,0.7653825,0.7435307011381079,0.7659227747154731,guardian_exit,-0.6271,10.0,0.724,2,closed,False
live_db,ic32_regime_v1,AVAXUSDT,SHORT,1,2026-06-12T12:05:05.312567+00:00,2026-06-12T13:45:18.258456+00:00,2026-06-12 20:05:05,2026-06-12 21:45:18,2026-06-12,2026-06-12,6.626685,6.548,6.523,6.7119120707235576,reconciled,0.5857,10.0,0.6077,1,closed,True
live_db,ic32_regime_v1,ETHUSDT,SHORT,1,2026-06-12T13:05:11.090689+00:00,2026-06-12T15:02:20.112659+00:00,2026-06-12 21:05:11,2026-06-12 23:02:20,2026-06-12,2026-06-12,1664.3973850000002,1691.3487747252143,1642.3432931450693,1690.5035229637326,sl_hit,-0.8176,10.0,0.612,1,closed,False
