2026-06-18 10:15:14 | INFO     | evaluator | [AVAXUSDT] Lev 5.0x -> PnL: $+22.23 | DD: 91.46%
2026-06-18 10:15:14 | INFO     | evaluator | [AVAXUSDT] Winrate: 55.26% (63W / 51L / 114 trades | time_exit=10) | Sharpe=2.33 Sortino=4.74 Calmar=9.80 PF=1.30
2026-06-18 10:15:14 | INFO     | evaluator | [AVAXUSDT] Lev 5.0x -> PnL: $+13.03 | DD: 113.57%
2026-06-18 10:15:14 | INFO     | evaluator | [AVAXUSDT] Winrate: 54.05% (60W / 51L / 111 trades | time_exit=10) | Sharpe=3.15 Sortino=5.75 Calmar=33.48 PF=1.57
2026-06-18 10:15:14 | INFO     | evaluator | [AVAXUSDT] Lev 5.0x -> PnL: $+20.13 | DD: 77.95%
2026-06-18 10:15:14 | INFO     | evaluator | [AVAXUSDT] Winrate: 55.32% (52W / 42L / 94 trades | time_exit=9) | Sharpe=2.37 Sortino=4.23 Calmar=16.86 PF=1.47
2026-06-18 10:15:14 | INFO     | evaluator | [AVAXUSDT] Lev 5.0x -> PnL: $+16.30 | DD: 101.04%
2026-06-18 10:15:14 | INFO     | evaluator | [AVAXUSDT] Winrate: 60.00% (33W / 22L / 55 trades | time_exit=6) | Sharpe=2.50 Sortino=3.41 Calmar=36.00 PF=2.02
2026-06-18 10:15:15 | INFO     | evaluator | [AVAXUSDT] Lev 5.0x -> PnL: $+18.19 | DD: 58.92%
2026-06-18 10:15:15 | INFO     | evaluator | [AVAXUSDT] Winrate: 50.94% (54W / 52L / 106 trades | time_exit=10) | Sharpe=1.91 Sortino=4.17 Calmar=7.18 PF=1.25
2026-06-18 10:15:15 | INFO     | evaluator | [AVAXUSDT] Lev 5.0x -> PnL: $+10.34 | DD: 102.62%
2026-06-18 10:15:16 | INFO     | evaluator | [LINKUSDT] Winrate: 63.27% (62W / 36L / 98 trades | time_exit=9) | Sharpe=3.33 Sortino=5.76 Calmar=295.86 PF=3.04
2026-06-18 10:15:16 | INFO     | evaluator | [LINKUSDT] Lev 5.0x -> PnL: $+50.51 | DD: 73.44%
2026-06-18 10:15:16 | INFO     | evaluator | [LINKUSDT] Winrate: 65.31% (64W / 34L / 98 trades | time_exit=9) | Sharpe=3.25 Sortino=5.58 Calmar=226.27 PF=2.81
2026-06-18 10:15:16 | INFO     | evaluator | [LINKUSDT] Lev 5.0x -> PnL: $+47.29 | DD: 81.49%
2026-06-18 10:15:16 | INFO     | evaluator | [LINKUSDT] Winrate: 63.54% (61W / 35L / 96 trades | time_exit=7) | Sharpe=3.05 Sortino=5.99 Calmar=289.72 PF=2.73
2026-06-18 10:15:16 | INFO     | evaluator | [LINKUSDT] Lev 5.0x -> PnL: $+47.08 | DD: 62.94%
2026-06-18 10:15:16 | INFO     | evaluator | [LINKUSDT] Winrate: 63.95% (55W / 31L / 86 trades | time_exit=8) | Sharpe=3.14 Sortino=5.84 Calmar=222.95 PF=2.77
2026-06-18 10:15:16 | INFO     | evaluator | [LINKUSDT] Lev 5.0x -> PnL: $+41.83 | DD: 61.15%
2026-06-18 10:15:16 | INFO     | evaluator | [LINKUSDT] Winrate: 70.49% (43W / 18L / 61 trades | time_exit=7) | Sharpe=4.27 Sortino=12.01 Calmar=499.96 PF=4.94
2026-06-18 10:15:16 | INFO     | evaluator | [LINKUSDT] Lev 5.0x -> PnL: $+42.77 | DD: 28.79%
2026-06-18 10:15:17 | INFO     | evaluator | [LINKUSDT] Winrate: 57.45% (54W / 40L / 94 trades | time_exit=5) | Sharpe=2.30 Sortino=4.84 Calmar=104.63 PF=1.85
2026-06-18 10:15:17 | INFO     | evaluator | [LINKUSDT] Lev 5.0x -> PnL: $+30.30 | DD: 60.87%
2026-06-18 10:15:17 | INFO     | evaluator | [DOTUSDT] Winrate: 53.64% (59W / 51L / 110 trades | time_exit=8) | Sharpe=2.84 Sortino=5.19 Calmar=36.46 PF=1.55
2026-06-18 10:15:17 | INFO     | evaluator | [DOTUSDT] Lev 5.0x -> PnL: $+19.04 | DD: 63.82%
2026-06-18 10:15:18 | INFO     | evaluator | [DOTUSDT] Winrate: 52.78% (57W / 51L / 108 trades | time_exit=10) | Sharpe=1.75 Sortino=3.55 Calmar=4.10 PF=1.19
2026-06-18 10:15:18 | INFO     | evaluator | [DOTUSDT] Lev 5.0x -> PnL: $+7.41 | DD: 103.65%
2026-06-18 10:15:18 | INFO     | evaluator | [DOTUSDT] Winrate: 48.62% (53W / 56L / 109 trades | time_exit=8) | Sharpe=1.93 Sortino=3.75 Calmar=9.91 PF=1.25
2026-06-18 10:15:18 | INFO     | evaluator | [DOTUSDT] Lev 5.0x -> PnL: $+9.79 | DD: 67.65%
2026-06-18 10:15:18 | INFO     | evaluator | [DOTUSDT] Winrate: 52.58% (51W / 46L / 97 trades | time_exit=10) | Sharpe=1.95 Sortino=3.64 Calmar=7.63 PF=1.27
2026-06-18 10:15:18 | INFO     | evaluator | [DOTUSDT] Lev 5.0x -> PnL: $+9.02 | DD: 76.53%
2026-06-18 10:15:18 | INFO     | evaluator | [DOTUSDT] Winrate: 59.09% (39W / 27L / 66 trades | time_exit=5) | Sharpe=2.70 Sortino=5.73 Calmar=45.78 PF=1.84
2026-06-18 10:15:18 | INFO     | evaluator | [DOTUSDT] Lev 5.0x -> PnL: $+15.88 | DD: 35.37%
2026-06-18 10:15:19 | INFO     | evaluator | [DOTUSDT] Winrate: 48.51% (49W / 52L / 101 trades | time_exit=9) | Sharpe=1.65 Sortino=3.35 Calmar=2.76 PF=1.16
2026-06-18 10:15:19 | INFO     | evaluator | [DOTUSDT] Lev 5.0x -> PnL: $+6.31 | DD: 120.39%
2026-06-18 10:15:20 | INFO     | evaluator | [SUIUSDT] Winrate: 65.75% (96W / 50L / 146 trades | time_exit=14) | Sharpe=5.39 Sortino=14.44 Calmar=632.95 PF=2.73
2026-06-18 10:15:20 | INFO     | evaluator | [SUIUSDT] Lev 5.0x -> PnL: $+61.34 | DD: 56.29%
2026-06-18 10:15:20 | INFO     | evaluator | [SUIUSDT] Winrate: 61.11% (88W / 56L / 144 trades | time_exit=13) | Sharpe=4.82 Sortino=10.02 Calmar=481.21 PF=2.38
2026-06-18 10:15:20 | INFO     | evaluator | [SUIUSDT] Lev 5.0x -> PnL: $+55.43 | DD: 57.11%
2026-06-18 10:15:20 | INFO     | evaluator | [SUIUSDT] Winrate: 62.59% (92W / 55L / 147 trades | time_exit=18) | Sharpe=4.69 Sortino=12.10 Calmar=372.74 PF=2.38
2026-06-18 10:15:20 | INFO     | evaluator | [SUIUSDT] Lev 5.0x -> PnL: $+56.58 | DD: 77.68%
2026-06-18 10:15:21 | INFO     | evaluator | [SUIUSDT] Winrate: 64.52% (80W / 44L / 124 trades | time_exit=12) | Sharpe=5.08 Sortino=7.47 Calmar=361.36 PF=2.41
2026-06-18 10:15:21 | INFO     | evaluator | [SUIUSDT] Lev 5.0x -> PnL: $+46.35 | DD: 48.54%
2026-06-18 10:15:21 | INFO     | evaluator | [SUIUSDT] Winrate: 70.13% (54W / 23L / 77 trades | time_exit=5) | Sharpe=5.78 Sortino=13.62 Calmar=263.79 PF=2.99
2026-06-18 10:15:21 | INFO     | evaluator | [SUIUSDT] Lev 5.0x -> PnL: $+37.25 | DD: 39.10%
2026-06-18 10:15:21 | INFO     | evaluator | [SUIUSDT] Winrate: 59.71% (83W / 56L / 139 trades | time_exit=13) | Sharpe=3.61 Sortino=10.33 Calmar=201.05 PF=1.83
2026-06-18 10:15:21 | INFO     | evaluator | [SUIUSDT] Lev 5.0x -> PnL: $+37.46 | DD: 51.99%
2026-06-18 10:15:22 | INFO     | evaluator | [POLUSDT] Winrate: 73.33% (55W / 20L / 75 trades | time_exit=11) | Sharpe=5.86 Sortino=7.79 Calmar=401.16 PF=4.96
2026-06-18 10:15:22 | INFO     | evaluator | [POLUSDT] Lev 5.0x -> PnL: $+37.13 | DD: 25.51%
