Opened,Closed,Coin,Model,Direction,Conf,Entry,Exit,TP,SL,ATR,% to H4Hi,% to H4Lo,RR,H4 Trend,Vol Regime,H4 High,H4 Low,Qty,Leverage,PnL ($),PnL (%),Exit Reason,Hold Bars,Status
2026-05-08 03:05,2026-05-08 15:57,1000PEPEUSDT,cascade_v2,LONG,0.99,0.00409200,0.00427490,0.00427490,0.00404819,0.00004381,+4.5,+0.5,4.17,DOWN,0.10,0.00427490,0.00407350,100.0000,5.0,+22.27,+22.3,tp_hit,12,closed
2026-05-07 08:05,2026-05-07 11:31,TONUSDT,cascade,LONG,0.91,2.7067,2.5077,2.9720,2.5077,0.132651,-49.9,+51.7,1.33,UP,0.10,1.3560,1.3065,100.0000,5.0,-36.84,-36.8,sl_hit,3,closed
2026-05-06 23:05,2026-05-07 23:05,NEARUSDT,cascade,LONG,0.67,1.4810,1.4610,1.5443,1.4335,0.031635,-11.4,+16.0,1.33,UP,0.21,1.3120,1.2440,50.0000,5.0,-3.46,-6.9,time_exit,24,closed
2026-05-06 23:05,2026-05-07 17:30,ADAUSDT,cascade,LONG,0.80,0.265000,0.261060,0.270254,0.261060,0.00262679,-3.8,+6.9,1.33,UP,0.17,0.255000,0.246700,100.0000,5.0,-7.51,-7.5,sl_hit,18,closed
2026-05-06 21:05,2026-05-07 21:05,DOGEUSDT,cascade,LONG,0.70,0.112700,0.107680,0.114773,0.107050,0.00103660,+1.0,+5.0,0.37,DOWN,0.01,0.113830,0.107050,50.0000,5.0,-11.22,-22.4,time_exit,24,closed
2026-05-06 21:05,2026-05-07 00:42,1000SHIBUSDT,cascade,LONG,0.66,0.00640000,0.00632580,0.00649894,0.00632580,0.00004947,-0.8,+4.4,1.33,UP,0.06,0.00635000,0.00612100,50.0000,5.0,-2.98,-6.0,sl_hit,3,closed
2026-05-06 19:05,2026-05-07 01:07,SUIUSDT,cascade,LONG,0.97,0.989800,0.971971,1.0136,0.971971,0.011886,-3.2,+8.0,1.33,UP,0.02,0.958300,0.911000,100.0000,5.0,-9.09,-9.1,sl_hit,6,closed
2026-05-06 19:05,2026-05-07 14:39,LINKUSDT,cascade,LONG,0.69,9.9670,9.8305,10.1490,9.8305,0.090982,-3.2,+9.1,1.33,UP,0.04,9.6530,9.0630,50.0000,5.0,-3.50,-7.0,sl_hit,19,closed
2026-05-06 16:05,2026-05-07 06:56,POLUSDT,cascade,LONG,0.67,0.098290,0.099759,0.099759,0.097188,0.00073444,-0.3,+3.5,1.33,DOWN,0.13,0.098010,0.094810,50.0000,5.0,+3.66,+7.3,tp_hit,14,closed
2026-05-06 16:05,2026-05-07 02:32,SOLUSDT,cascade,LONG,0.98,88.9700,87.7779,90.5595,87.7779,0.794727,-3.5,+6.5,1.33,UP,0.05,85.8800,83.1800,100.0000,5.0,-6.78,-6.8,sl_hit,10,closed
2026-05-06 15:05,2026-05-07 02:17,XRPUSDT,cascade,LONG,0.71,1.4251,1.4091,1.4465,1.4091,0.010685,-0.3,+3.1,1.34,,,1.4209,1.3814,50.0000,5.0,-2.89,-5.8,sl_hit,11,closed
2026-05-06 14:06,2026-05-07 14:09,AVAXUSDT,cascade,LONG,0.85,9.5200,9.5100,9.7101,9.3775,0.095029,-1.5,+5.8,1.33,,,9.3800,8.9700,100.0000,5.0,-0.61,-0.6,time_exit,24,closed
