bar_in,bar_out,direction,entry,exit,tp,sl,rr,outcome,net_pnl,equity,modal_used,partial_bar,partial_pnl,partial_price,partial_ratio
32359,32366,SHORT,6.6246860000000005,6.629313,6.457625534543083,6.77176511636423,1.14,GUARDIAN_EXIT,-0.0749,184.8652,10.0,,0.0,,
32444,32447,SHORT,7.218389000000001,7.0545255,6.979,7.451450821380025,1.03,GUARDIAN_EXIT,1.095,185.9603,10.0,,0.0,,
32445,32447,SHORT,7.2173895,7.0545255,6.979,7.451124045196021,1.02,GUARDIAN_EXIT,1.0883,187.0486,10.0,,0.0,,
32452,32457,SHORT,7.1634165,7.313404190268737,6.9683060791854246,7.309749315610932,1.33,LOSS,-1.0869,185.9617,10.0,,0.0,,
32500,32502,LONG,7.053525,7.1574195,7.15796760479899,6.975193046400757,1.33,GUARDIAN_MOMENTUM_EXIT,0.6965,186.6581,10.0,,0.0,,
32585,32591,LONG,7.0305135,6.919538500000001,7.203989743775354,6.885630939056162,1.2,GUARDIAN_EXIT,-0.8292,185.8289,10.0,,0.0,,
32801,32812,SHORT,7.2073945,7.1235599999999994,7.110514378618209,7.297220030345447,1.08,GUARDIAN_EXIT,0.5416,186.3705,10.0,,0.0,,
32809,32812,SHORT,7.198399,7.1235599999999994,7.117565479815995,7.2590241401380045,1.33,GUARDIAN_MOMENTUM_EXIT,0.4798,186.8503,10.0,,0.0,,
32888,32924,SHORT,7.584206000000001,7.587998103,7.38867425754013,7.730854806844905,1.33,TIMEOUT_MOMENTUM,0.1196,186.9699,10.0,32900.0,0.1621,7.535766,0.5
32889,32892,SHORT,7.617189500000001,7.589793,7.428,7.758085132598918,1.34,GUARDIAN_EXIT,0.1398,187.1097,10.0,,0.0,,
32890,32926,SHORT,7.593201500000001,7.5969981007500005,7.407722102330142,7.732311048252395,1.33,TIMEOUT_MOMENTUM,0.149,187.2587,10.0,32900.0,0.1915,7.535766,0.5
32909,32912,LONG,7.5407684999999995,7.5632165,7.7340594627481005,7.395800277938924,1.33,GUARDIAN_EXIT,0.1088,187.3676,10.0,,0.0,,
32952,32958,LONG,7.1425695,7.324336000000001,7.3448031948255466,6.844441576293613,0.68,GUARDIAN_EXIT,1.2324,188.6,10.0,,0.0,,
32954,32958,LONG,7.161579,7.324336000000001,7.3384567530022995,6.972780561749426,0.94,GUARDIAN_EXIT,1.0963,189.6963,10.0,,0.0,,
33032,33036,SHORT,7.710143,7.6738349999999995,7.411,7.8240950817595385,2.63,GUARDIAN_EXIT,0.1955,189.8918,10.0,,0.0,,
33073,33078,SHORT,7.4092935,7.259628,7.24438782883764,7.603226417790591,0.85,GUARDIAN_MOMENTUM_EXIT,0.97,190.8618,10.0,,0.0,,
33074,33077,SHORT,7.465265500000001,7.315656,7.300213918325955,7.603262895418512,1.2,GUARDIAN_MOMENTUM_EXIT,0.962,191.8238,10.0,,0.0,,
33288,33290,LONG,7.140568499999999,7.201397500000001,7.220181309699553,7.051096797575111,0.89,GUARDIAN_EXIT,0.3859,192.2097,10.0,,0.0,,
33289,33291,LONG,7.141569,7.2573695,7.217233435072948,7.052083891231763,0.85,GUARDIAN_MOMENTUM_EXIT,0.7707,192.9805,10.0,,0.0,,
